zone,gu,ztype,pop,youth_ratio,aging_ratio,pop_growth_5y,active_biz,biz_net_growth,closure_rate,biz_diversity,vacancy_rate,old_building,transit_density,의료,보육,공원,문화,체육,복지,soc_total,soc_per_capita,soc_access,biz_density,area_km2,pop_density
중앙동,동남구,원도심,7000,12.508516367514495,39.73206035823455,-5.783545898622626,88,-10.204081632653061,13.987478152465107,2.1143510728906105,14.964941477155037,69.44201760182415,7.3137456247253825,5,7,9,6,7,6,40,5.714285714285714,88.5679369787293,12.571428571428571,1.4,5000.0
문성동,동남구,원도심,13000,15.26316646567478,30.226848741395887,-2.3179115509868202,198,0.50761421319796,13.905421910435928,2.3274780776584643,11.954404368032186,57.853004695380214,6.806530726168549,7,11,11,11,9,15,64,4.923076923076923,85.94665819129183,15.23076923076923,2.1,6190.47619047619
원성동,동남구,원도심,22000,15.03904195155028,32.90834524796701,-4.91701858287588,341,-1.729106628242072,13.256504904597454,2.144760726938945,13.083584700834038,60.10438162443026,5.472407285115248,19,18,15,13,16,13,94,4.2727272727272725,83.77520545269512,15.5,3.0,7333.333333333333
봉명동,동남구,원도심,16000,22.249915184397764,26.77007087864168,-3.3085787361392627,290,1.0452961672473782,12.770171753888798,2.3030514658373886,10.297314200776952,46.53516982790658,5.42093674318762,14,18,14,13,12,9,80,5.0,93.1782829971588,18.125,1.6,10000.0
일봉동,동남구,원도심,22000,22.348873275430403,28.91937107969192,-1.857427952547331,414,-3.7209302325581395,10.221835492508735,2.473611350782427,9.349225103613463,49.70206371750018,5.490813473966904,19,18,22,18,20,18,115,5.2272727272727275,87.98668359259496,18.818181818181817,3.4,6470.588235294118
신방동,동남구,기성시가지,35000,23.969693213156248,18.856482483978795,1.2109572918820988,760,-1.8087855297157618,11.630774992246787,2.5716351374257034,5.9668599323267095,39.06345972994813,5.3798619818030335,44,44,35,32,38,23,216,6.171428571428572,90.4547751092431,21.714285714285715,4.2,8333.333333333332
청룡동,동남구,기성시가지,33000,21.369481598859828,20.04697143839835,1.916464941213176,762,0.2631578947368318,10.365762597752537,2.7180383890066433,4.415186123156013,34.749646830501725,5.8183011298613385,28,37,25,23,32,34,179,5.424242424242424,79.77776394866521,23.090909090909093,8.5,3882.3529411764707
신안동,동남구,기성시가지,16000,27.236556653508647,15.880706787300314,0.19946782526524864,380,0.0,10.20683082262032,2.5715071146163084,3.823322937541449,28.544927906321117,9.95824354919183,18,16,13,17,20,14,98,6.125,71.34897241823637,23.75,12.0,1333.3333333333333
목천읍,동남구,읍지역,19000,21.30533499491404,24.156785669829386,-4.514010074123192,384,2.127659574468077,10.521805672281909,2.4824863756132958,8.294750608182387,38.343486615324515,0.7953135100490342,18,13,11,11,13,14,80,4.2105263157894735,22.227444776998773,20.210526315789473,62.0,306.4516129032258
병천면,동남구,농촌면,7000,15.178884339196895,34.5607630146111,-2.3453811719714768,120,-6.25,11.86086078906372,2.4778942923382807,14.039966861214296,56.26259144229007,0.6645966885906516,4,3,3,3,4,3,20,2.857142857142857,3.6523615166768844,17.142857142857142,47.0,148.93617021276594
풍세면,동남구,농촌면,5000,16.703044623102645,36.87446429626455,-3.2614104237190458,81,-1.2195121951219523,11.909525918026825,2.245972537901421,15.792555161243865,67.60487006832015,0.4680759122893289,2,2,2,2,1,3,12,2.4,44.52838757079805,16.2,34.0,147.05882352941177
광덕면,동남구,농촌면,4000,11.769979012709046,39.03398683180759,-3.7544490121464533,62,0.0,13.44027698713838,2.12169760309898,17.618951216021497,71.22845440317869,0.5141440628992169,1,1,2,1,1,2,8,2.0,0.5519525501098198,15.5,71.0,56.33802816901409
북면,동남구,농촌면,4000,15.91079018037025,37.28001546978827,-3.8569137638509696,62,1.6393442622950838,12.639921421917828,2.185453941013516,14.228892297456598,59.98254404711412,0.4403651689804394,1,2,1,1,2,2,9,2.25,12.848162766746634,15.5,62.0,64.51612903225806
성남면,동남구,농촌면,4000,12.67003197190632,37.817451679987336,-3.584975297903507,60,-3.2258064516129004,13.031680611736553,2.3395887811982123,13.92646770937237,64.43722221992411,0.3963275441566967,1,2,2,1,2,1,9,2.25,32.41189286137122,15.0,34.0,117.6470588235294
수신면,동남구,농촌면,3000,12.20826983139453,35.46003832932668,-7.099405752466451,43,-4.444444444444439,13.594472286656746,2.06297180782866,16.127357360987784,65.87293305506422,0.4454063369163982,1,1,1,0,1,1,5,1.6666666666666667,10.243220042527447,14.333333333333334,27.0,111.11111111111111
동면,동남구,농촌면,3000,13.128680464347845,36.679972998490136,-6.173154733186754,44,-4.347826086956519,13.75524984700537,2.21270581047665,15.449612656651666,62.95401272952505,0.40375834909568203,1,1,1,1,1,1,6,2.0,0.0,14.666666666666666,46.0,65.21739130434783
성정동,서북구,기성시가지,42000,20.678185733976154,23.71501801822815,-0.1224372194673431,839,0.7202881152460927,11.30894552737496,2.5768015078232485,7.058228429904617,39.39494950763103,7.952329019042536,28,47,38,40,43,38,234,5.571428571428572,93.69185741226502,19.976190476190478,3.6,11666.666666666666
쌍용동,서북구,기성시가지,69000,22.691768102201298,21.866133562959305,-4.002019715047039,1442,-1.3679890560875485,11.370261742366917,2.62873221554104,6.434880627747534,39.36947498155516,7.117312940922177,74,69,92,69,69,77,450,6.521739130434782,99.99999999635489,20.89855072463768,5.4,12777.777777777777
백석동,서북구,신도심,33000,25.290687886146998,15.068005324886006,5.0280558091283645,846,1.5606242496998712,9.521719250672541,2.766674843296846,1.1659911345506424,22.49682092897728,8.212600201648707,31,30,21,33,42,34,191,5.787878787878788,97.54265855796497,25.636363636363637,4.8,6875.0
불당동,서북구,신도심,72000,27.788775651098177,12.633614561528535,3.045839065168688,2307,8.513640639698972,7.41395200906976,2.7505201081446193,0.6,16.16833097427539,11.071270688282702,89,79,68,121,102,97,556,7.722222222222222,99.22010493982198,32.04166666666667,4.4,16363.636363636362
부성동,서북구,신도심,80000,29.18513207899087,12.218342673496345,5.16541655885117,2329,6.008192990441508,10.183788755669218,2.775906873201287,1.6396852575083065,23.792353370297267,8.557131030758665,66,102,98,70,92,75,503,6.2875,93.90683754328897,29.1125,18.0,4444.444444444444
성환읍,서북구,읍지역,24000,16.630155105113904,30.37379932326665,-2.45145463474436,400,-4.534606205250602,11.00035433177531,2.3361929804246264,11.426501359357962,50.73834135492447,0.7161243082691203,20,14,19,17,16,15,101,4.208333333333333,32.165665420977994,16.666666666666668,57.0,421.05263157894734
성거읍,서북구,읍지역,18000,19.118618179610326,26.255128728820967,-0.5529505716080966,340,-0.8746355685131157,12.197674398168717,2.5123051267533354,9.020173557178415,44.99189519905067,0.6814818224468833,7,10,10,15,14,13,69,3.833333333333333,48.38698113508758,18.88888888888889,34.0,529.4117647058823
직산읍,서북구,읍지역,28000,24.568603066174827,19.994736807334775,-0.805648012878019,615,0.16286644951140072,10.14912712762715,2.5653615657641162,6.76122814051198,33.0417016520023,0.9755494790053791,24,19,25,23,20,15,126,4.5,44.61491633764433,21.964285714285715,39.0,717.9487179487179
입장면,서북구,농촌면,8000,15.439605719718038,34.73353291368289,-1.4526188463597087,144,-0.6896551724137945,12.794231511180888,2.2826031228926857,12.844449686741783,49.586703124593726,0.6370987819216815,3,5,4,3,4,3,22,2.75,28.553247623399347,18.0,43.0,186.04651162790697
